id,title,start,end,total_reactions,total_comments,new_reactions,new_comments
[`flutter/flutter#133465`](https://github.com/flutter/flutter/issues/133465),"Long-term solution to replacing `ios-deploy`",2024-01-24,2024-02-06,52,16,1,0
[`flutter/flutter#109842`](https://github.com/flutter/flutter/issues/109842),"Add suport for Android 13 per-app language preferences ",2024-01-24,2024-02-06,48,4,1,0
[`flutter/flutter#94804`](https://github.com/flutter/flutter/issues/94804),"Use gtk4 for linux desktop",2024-01-24,2024-02-06,48,22,1,0
[`flutter/flutter#62118`](https://github.com/flutter/flutter/issues/62118),"Video_Player issues - out of memory exception when choosing large file from phone to play",2024-01-24,2024-02-06,35,42,1,0
[`flutter/flutter#138737`](https://github.com/flutter/flutter/issues/138737),"PopScope seems to be incompatible with GoRouter",2024-01-24,2024-02-06,29,7,1,1
[`flutter/flutter#116651`](https://github.com/flutter/flutter/issues/116651),"[go_router] What does 'refreshListenable' do? How does it work? (missing documentation)",2024-01-24,2024-02-06,28,80,1,0
[`flutter/flutter#43582`](https://github.com/flutter/flutter/issues/43582),"keep state inside SearchDelegate ",2024-01-24,2024-02-06,21,15,1,0
[`flutter/flutter#114324`](https://github.com/flutter/flutter/issues/114324),"Extra page shown when swiping back in Safari on iOS ",2024-01-24,2024-02-06,19,24,1,0
[`flutter/flutter#50455`](https://github.com/flutter/flutter/issues/50455),"Failed to xcodebuild against multiple iOS devices: Build service could not start build operation: unknown error while handling message: Could not acquire lock at path `Path(str: "".../DerivedData/.../...-Workspace.lock"")`",2024-01-24,2024-02-06,19,32,1,0
[`flutter/flutter#51267`](https://github.com/flutter/flutter/issues/51267),"[google_maps_flutter] Please clarify why API KEY in source code is OK",2024-01-24,2024-02-06,16,16,1,0
[`flutter/flutter#87734`](https://github.com/flutter/flutter/issues/87734),"[web] Incomplete sourcemaps",2024-01-24,2024-02-06,15,14,1,0
[`flutter/flutter#58192`](https://github.com/flutter/flutter/issues/58192),"Add mouse cursor support to the remaining widgets",2024-01-24,2024-02-06,15,21,1,0
[`flutter/flutter#72029`](https://github.com/flutter/flutter/issues/72029),"Selection toolbar/handler should disappear when it is opened and user clicks outside of it",2024-01-24,2024-02-06,14,15,1,0
[`flutter/flutter#71400`](https://github.com/flutter/flutter/issues/71400),"Customizable project structure (platforms)",2024-01-24,2024-02-06,403,21,1,0
[`flutter/flutter#37673`](https://github.com/flutter/flutter/issues/37673),"[video_player] Add Windows support",2024-01-24,2024-02-06,177,66,1,0
[`flutter/flutter#26152`](https://github.com/flutter/flutter/issues/26152),"Tizen platform support",2024-01-24,2024-02-06,111,27,1,0
[`flutter/flutter#116526`](https://github.com/flutter/flutter/issues/116526),"Support Material 3 motion - Transitions",2024-01-24,2024-02-06,78,11,1,0
[`flutter/flutter#102560`](https://github.com/flutter/flutter/issues/102560),"Support Material Symbols ",2024-01-24,2024-02-06,74,19,1,0
[`flutter/flutter#25652`](https://github.com/flutter/flutter/issues/25652),"Scrollbar resizing and jumping",2024-01-24,2024-02-06,61,50,1,0
[`flutter/flutter#41731`](https://github.com/flutter/flutter/issues/41731),"[google_maps_flutter] Performance drop when loading markers from bytes",2024-01-24,2024-02-06,55,40,1,0
[`flutter/flutter#62401`](https://github.com/flutter/flutter/issues/62401),"showDatePicker has date format issues when DatePickerEntryMode.input is selected",2024-01-24,2024-02-06,44,22,1,0
[`flutter/flutter#115751`](https://github.com/flutter/flutter/issues/115751),"Building all integration test targets into a single application binary",2024-01-24,2024-02-06,34,12,1,0
[`flutter/flutter#90063`](https://github.com/flutter/flutter/issues/90063),"TextField with lots of text can hang app",2024-01-24,2024-02-06,30,39,1,1
[`flutter/flutter#61246`](https://github.com/flutter/flutter/issues/61246),"[flutter_tools] IDE plugin validators should be deprecated",2024-01-24,2024-02-06,28,6,1,0
[`flutter/flutter#56239`](https://github.com/flutter/flutter/issues/56239),"Specifying cacheWidth / cacheHeight can degrade the image quality",2024-01-24,2024-02-06,26,16,1,0
[`flutter/flutter#127209`](https://github.com/flutter/flutter/issues/127209),"Add docs for go_router StatefulShellRoute",2024-01-24,2024-02-06,21,0,1,0
[`flutter/flutter#110928`](https://github.com/flutter/flutter/issues/110928),"Documentation request: deep linking and Android launchMode",2024-01-24,2024-02-06,20,1,1,0
[`flutter/flutter#97305`](https://github.com/flutter/flutter/issues/97305),"[web] support scaling page content using two-finger pinch gesture",2024-01-24,2024-02-06,15,22,1,0
[`flutter/flutter#24213`](https://github.com/flutter/flutter/issues/24213),"[google_maps_flutter] Support Widgets as markers",2024-01-24,2024-02-06,411,52,1,0
[`flutter/flutter#110431`](https://github.com/flutter/flutter/issues/110431),"Flutter adds additional one frame touch latency compared to native",2024-01-24,2024-02-06,274,23,1,0
[`flutter/flutter#64958`](https://github.com/flutter/flutter/issues/64958),"Make it easy to use C# for Windows plugins",2024-01-24,2024-02-06,201,62,1,0
[`flutter/flutter#14288`](https://github.com/flutter/flutter/issues/14288),"Antialiasing behaviour when same-colour ",2024-01-24,2024-02-06,139,92,1,0
[`flutter/flutter#101479`](https://github.com/flutter/flutter/issues/101479),"Move the material and cupertino packages outside of Flutter",2024-01-24,2024-02-06,95,22,1,0
[`flutter/flutter#104889`](https://github.com/flutter/flutter/issues/104889),"[webview_flutter][android] webview crashes when embedded in a scrollview",2024-01-24,2024-02-06,75,49,1,0
[`flutter/flutter#9688`](https://github.com/flutter/flutter/issues/9688),"Input validator async",2024-01-24,2024-02-06,65,23,1,0
[`flutter/flutter#40135`](https://github.com/flutter/flutter/issues/40135),"Don't rely on global `pod` installation, use bundled version",2024-01-24,2024-02-06,50,10,1,0
[`flutter/flutter#37510`](https://github.com/flutter/flutter/issues/37510),"Provide a disableSwipe to PageView",2024-01-24,2024-02-06,45,22,1,0
[`flutter/flutter#76248`](https://github.com/flutter/flutter/issues/76248),"[web] Emojis take a few seconds to render on canvaskit",2024-01-24,2024-02-06,39,14,1,1
[`flutter/flutter#76478`](https://github.com/flutter/flutter/issues/76478),"[web]: No back/forward gesture support on iOS and MacOS browsers",2024-01-24,2024-02-06,36,14,1,1
[`flutter/flutter#117382`](https://github.com/flutter/flutter/issues/117382),"Canvas instrumentation (recording)",2024-01-24,2024-02-06,28,6,1,0
[`flutter/flutter#37987`](https://github.com/flutter/flutter/issues/37987),"Enable hot restart on profile mode",2024-01-24,2024-02-06,27,14,1,0
[`flutter/flutter#62966`](https://github.com/flutter/flutter/issues/62966),"Use dart_test.yaml in flutter test",2024-01-24,2024-02-06,20,6,1,0
[`flutter/flutter#90373`](https://github.com/flutter/flutter/issues/90373),"[Image_picker]: Image gallery opens twice if we choose select photos permission.",2024-01-24,2024-02-06,19,42,1,1
[`flutter/flutter#69676`](https://github.com/flutter/flutter/issues/69676),"Persistent bottom sheet does not respect SafeArea",2024-01-24,2024-02-06,19,8,1,0
[`flutter/flutter#73315`](https://github.com/flutter/flutter/issues/73315),"Ink widget decoration visible or/and renders outside the ListView boundary up to the cacheExtent.",2024-01-24,2024-02-06,18,14,1,0
[`flutter/flutter#73208`](https://github.com/flutter/flutter/issues/73208),"Draggable feedback widget gets an offset when InteractiveViewer is scaled",2024-01-24,2024-02-06,17,13,1,0
[`flutter/flutter#117937`](https://github.com/flutter/flutter/issues/117937),"External Texture Support for Vulkan",2024-01-24,2024-02-06,15,3,1,0
[`flutter/flutter#14203`](https://github.com/flutter/flutter/issues/14203),"Document that WillPopScope prevents swipe to go back on MaterialPageRoute",2024-01-24,2024-02-06,188,112,1,0
[`flutter/flutter#69429`](https://github.com/flutter/flutter/issues/69429),"Make tests compile and run faster",2024-01-24,2024-02-06,92,22,1,0
[`flutter/flutter#51928`](https://github.com/flutter/flutter/issues/51928),"[camera] Support for multiple cameras at once",2024-01-24,2024-02-06,80,9,1,0
[`flutter/flutter#105672`](https://github.com/flutter/flutter/issues/105672),"[Proposal] Access l18n Translations with Dynamic Keys",2024-01-24,2024-02-06,74,16,1,0
[`flutter/flutter#69157`](https://github.com/flutter/flutter/issues/69157),"Build Flutter macOS artifacts with ARM architecture slice",2024-01-24,2024-02-06,67,10,1,0
[`flutter/flutter#60069`](https://github.com/flutter/flutter/issues/60069),"[web] support offline PWA",2024-01-24,2024-02-06,58,35,1,7
[`flutter/flutter#97050`](https://github.com/flutter/flutter/issues/97050),"Supporting of in app purchases on Windows Store",2024-01-24,2024-02-06,44,6,1,1
[`flutter/flutter#135050`](https://github.com/flutter/flutter/issues/135050),"Add `context.dependOnListenable(Listenable listenable)`",2024-01-24,2024-02-06,43,8,1,0
[`flutter/flutter#78247`](https://github.com/flutter/flutter/issues/78247),"Low Resolution in Camera Image Stream, ResolutionPreset Constructor Parameter is ignored",2024-01-24,2024-02-06,42,12,1,0
[`flutter/flutter#22856`](https://github.com/flutter/flutter/issues/22856),"On Android when there are multiple flavors and no --flavor flag is specified then use a default one",2024-01-24,2024-02-06,42,21,1,0
[`flutter/flutter#64073`](https://github.com/flutter/flutter/issues/64073),"[google_maps_flutter_web] Add ""My Location"" Widget.",2024-01-24,2024-02-06,41,13,1,0
[`flutter/flutter#8230`](https://github.com/flutter/flutter/issues/8230),"Platform specific assets",2024-01-24,2024-02-06,37,8,1,0
[`flutter/flutter#81739`](https://github.com/flutter/flutter/issues/81739),"[flutter_markdown] Support `maxLines` and `overflow`",2024-01-24,2024-02-06,32,5,1,0
[`flutter/flutter#17130`](https://github.com/flutter/flutter/issues/17130),"A cold-start ""flutter test"" takes multiple seconds",2024-01-24,2024-02-06,32,34,1,0
[`flutter/flutter#114012`](https://github.com/flutter/flutter/issues/114012),"Camera CameraCaptureSession.close() crash",2024-01-24,2024-02-06,31,50,1,1
[`flutter/flutter#98178`](https://github.com/flutter/flutter/issues/98178),"[ListTile] Support custom height constraints of leading/trailing",2024-01-24,2024-02-06,28,7,1,0
[`flutter/flutter#54272`](https://github.com/flutter/flutter/issues/54272),"Add support for RefreshIndicator to be used with SliverAppBar",2024-01-24,2024-02-06,29,14,1,0
[`flutter/flutter#44937`](https://github.com/flutter/flutter/issues/44937),"Allow using dart:indexed_db in flutter apps",2024-01-24,2024-02-06,28,13,1,1
[`flutter/flutter#110658`](https://github.com/flutter/flutter/issues/110658),"coreLibraryDesugaringEnabled  option in android/app/build.gradle causes immediate flutter crash (java.lang.NoSuchMethod) on Android 12L/13 ",2024-01-24,2024-02-06,26,15,1,0
[`flutter/flutter#60750`](https://github.com/flutter/flutter/issues/60750),"[ios] Initializing google map with 'n' markers takes O(n) time to add and blocks the UI during this period",2024-01-24,2024-02-06,25,18,1,0
[`flutter/flutter#129933`](https://github.com/flutter/flutter/issues/129933),"[Flutter-web] Control+MouseWheel should zoom the browser window",2024-01-24,2024-02-06,23,9,1,0
